batch	line	reported_source	evidence_url
batch_0009	32566	'If—' (1910), poem in Rewards and Fairies (paraphrase of the opening and closing lines)	https://www.goodreads.com/quotes/912425-if-you-can-keep-your-wits-about-you-while-all - aggregators only carry this wording; it is a loose paraphrase of the first and last lines of Kipling's poem 'If—' ('If you can keep your head when all about you / Are losing theirs and blaming it on you... Yours is the Earth and everything that's in it, / And—which is more—you'll be a Man, my son!')
batch_0009	34441	Philoctetes (409 BC), ll. 94-95 (Neoptolemus), paraphrase	https://www.brainyquote.com/quotes/sophocles_101515 - only aggregators found for this wording; it is a condensed rendering of Neoptolemus' line 'I would rather fail with honour than win by cheating' (Philoctetes 94-95), the same passage as row 34434
batch_0009	34450	Oedipus the King (c. 429 BC), l. 617 (Creon: 'φρονεῖν γὰρ οἱ ταχεῖς οὐκ ἀσφαλεῖς')	https://www.brainyquote.com/quotes/sophocles_117986 - only aggregators found for this wording; it renders Creon's line at Oedipus the King 617 ('those who are quick in judgement are not safe')
batch_0009	34456	Electra (c. 410s BC), l. 945 (Electra: 'πόνου τοι χωρὶς οὐδὲν εὐτυχεῖ')	https://www.goodreads.com/quotes/889425-without-labor-nothing-prospers - only aggregators found for this wording; it is the standard rendering of Electra's line at Electra 945 ('nothing succeeds without toil')
batch_0009	37608	Georgics (29 BC), Book 3, l. 284: 'sed fugit interea, fugit inreparabile tempus'	https://www.brainyquote.com/quotes/virgil_145504 - only aggregators found for this wording; search result identifies Georgics 3.284 ('fugit inreparabile tempus'), the origin of 'tempus fugit'
batch_0009	37609	Georgics (29 BC), Book 3, ll. 66-67: 'optima quaeque dies miseris mortalibus aevi prima fugit'	https://www.brainyquote.com/quotes/virgil_145407 - only aggregators found for this wording; it is a free rendering of Georgics 3.66-67 ('the best days of life are the first to flee for wretched mortals')
batch_0009	37610	Georgics (29 BC), Book 3, l. 284: 'fugit inreparabile tempus'	https://www.goodreads.com/quotes/870112-time-passes-irrevocably - only aggregators found for this wording; it is a condensed rendering of Georgics 3.284 ('fugit inreparabile tempus'), the same passage as row 37608
batch_0009	37612	Aeneid (19 BC), Book 5, ll. 163-164 (Gyas to Menoetes): 'litus ama et laevas stringat sine palmula cautes; altum alii teneant'	https://www.goodreads.com/quotes/877835-hug-the-shore-let-others-try-the-deep - only aggregators found; the wording is a translation of Gyas' order in the boat race, Aeneid 5.163-164 ('litus ama... altum alii teneant')
batch_0009	37615	Aeneid (19 BC), Book 5, l. 710: 'superanda omnis fortuna ferendo est'	https://www.brainyquote.com/quotes/virgil_145417 - only aggregators found for this wording; it is a variant translation of Nautes' line at Aeneid 5.710, the same passage as row 37606 (documented at https://wist.info/virgil/56090/)
batch_0009	37627	Aeneid (19 BC), Book 2, l. 390 (Coroebus): 'dolus an virtus, quis in hoste requirat?'	https://www.brainyquote.com/quotes/virgil_145505 - only aggregators found for this wording; it is the standard rendering of Coroebus' line at Aeneid 2.390 ('dolus an virtus, quis in hoste requirat?')
batch_0009	37830	A Writer's Notebook (1949)	https://www.goodreads.com/work/quotes/1548581-a-writer-s-notebook - aggregator (not evidence) listing the fuller passage (on impediments to love and satiety) under A Writer's Notebook; search results identify A Writer's Notebook as the source
batch_0010	7835	The Analects (Lunyu), Book XVII, ch. 6	https://www.goodreads.com/quotes/282731-to-be-able-under-all-circumstances-to-practice-five-things - the wording is James Legge's translation of Analects XVII.6 ('To be able to practise five things everywhere under heaven constitutes perfect virtue... gravity, generosity of soul, sincerity, earnestness, and kindness'); no citation-tracking site surfaced, identification rests on the Legge text
batch_0010	10670	The Note Book of Elbert Hubbard (1927), p. 112	https://quotepark.com/quotes/1184527-elbert-hubbard-your-friend-is-the-man-who-knows-all-about-you-an/ - reproduces the Wikiquote citation to The Note Book of Elbert Hubbard (1927), p. 112 ('Your friend is the man who knows all about you, and still likes you')
batch_0010	20466	The Affluent Society (1958), ch. 2 'The Concept of the Conventional Wisdom'	https://www.goodreads.com/quotes/21701-the-conventional-view-serves-to-protect-us-from-the-painful - results tie the line to The Affluent Society's chapter on conventional wisdom; no citation-tracking site surfaced, identification rests on the book's ch. 2
batch_0010	20482	The Affluent Society (1958), ch. 9, sec. II, p. 103	https://quotepark.com/works/the-affluent-society-10044/ - reproduces the Wikiquote citation: The Affluent Society (1958) ch. 9, sec. II, p. 103: 'Although there is much malnutrition in the world, more die in the United States of too much food than of too little'
batch_0010	21118	A Tritical Essay upon the Faculties of the Mind (1707)	https://www.azquotes.com/quote/900131 - the original wording 'There is nothing in this world constant, but inconstancy' is cited to A Critical (Tritical) Essay upon the Faculties of the Mind; no citation-tracking site surfaced, identification rests on the essay's text
batch_0010	21120	A Complete Collection of Genteel and Ingenious Conversation (Polite Conversation) (1738), Dialogue II	https://www.goodreads.com/quotes/132463-the-best-doctors-in-the-world-are-doctor-diet-doctor - only aggregators surfaced; the line appears in Polite Conversation, Dialogue II, where Swift records it as a current proverb (the 'three doctors' saying predates him, from the Regimen Sanitatis Salernitanum)
batch_0011	37931	Preface to Leaves of Grass (1855); reprinted in Complete Prose Works (1892), 'Collect'	https://www.goodreads.com/quotes/8760794-what-ever-satisfies-the-soul-is-truth - search result cites Prose Works 1892, Volume II: Collect (which reprints the 1855 Preface containing the line 'whatever satisfies the soul is truth')
batch_0012	11546	A Moveable Feast (1964), ch. 'Scott Fitzgerald'	https://www.goodreads.com/quotes/1308533-never-go-on-trips-with-anyone-you-do-not-love - Goodreads entry tagged to A Moveable Feast: The Restored Edition, p. 144 (the Lyon trip with Fitzgerald)
batch_0017	17381	Letter to Lady Gregory (22 November 1902), quoted in Richard Ellmann, James Joyce (1959)	https://libquotes.com/james-joyce/quote/lbx8w0r - cites the letter of 22 November 1902 announcing his departure from Ireland, as quoted in Ellmann's James Joyce (1959)
batch_0018	37664	Diary entry (1930), published in The Diary of Virginia Woolf, Volume Three: 1925-1930 (1980)	https://www.goodreads.com/work/quotes/2453694-the-diary-of-virginia-woolf-volume-iii-1925-1930 - listed among quotes from Diary vol. III; Woolf's diary is her own first-hand record, exact entry date not captured
batch_0019	5803	Psychological Types (1921), Conclusion (p. 628, Baynes tr. 1923)	https://www.goodreads.com/quotes/152095-we-should-not-pretend-to-understand-the-world-only-by - entry cites Psychological Types, or, The Psychology of Individuation, Conclusion p. 628 (only source found giving a locator)
batch_0019	12210	Emblems (1635)	https://www.quotegarden.com/roses-thorns.html - quotes the full stanza ('Well, sleep thy fill, and take thy soft reposes; But know withal, sweet tastes have sour closes; And he repents in thorns, that sleeps in beds of roses') from Emblems, Divine and Moral (1859 ed.)
batch_0020	25238	The Downing Street Years (1993), ch. 1	https://www.goodreads.com/work/quotes/24892328-the-autobiography - quotes the passage ('Being Prime Minister is a lonely job. In a sense, it ought to be: you cannot lead from the crowd. But with Denis there I was never alone') from Margaret Thatcher: The Autobiography (2013), the abridgement of The Downing Street Years (1993), where it opens the first chapter
batch_0023	9298	'In Africa, a step backward on human rights', op-ed in The Washington Post (12 March 2010)	https://www.brainyquote.com/quotes/desmond_tutu_454145 - search result identifies the line as from Tutu's Washington Post op-ed 'In Africa, a step backward on human rights', 12 March 2010 (same op-ed as rows 9292/9294)
batch_0023	9919	Campaign speech (1952), as quoted in Time (6 October 1952)	https://www.brainyquote.com/quotes/dwight_d_eisenhower_162226 - search result identifies it as from a 1952 campaign speech quoted in Time magazine, 6 October 1952 (the citation Wikiquote gives)
batch_0023	10880	As recorded in Frederick Chamberlin, The Sayings of Queen Elizabeth (1923), p. 20	https://www.goodreads.com/quotes/5777791-a-clear-and-innocent-conscience-fears-nothing - search result cites Frederick Chamberlin, The Sayings of Queen Elizabeth (John Lane, 1923), p. 20, the citation Wikiquote uses for this saying
batch_0023	10893	Remark to Sir Henry Sidney, as recorded in Frederick Chamberlin, The Sayings of Queen Elizabeth (1923), ch. 11	https://www.azquotes.com/quote/88353 - search result gives the Wikiquote citation: Chamberlin, The Sayings of Queen Elizabeth (1923), ch. 11, addressed to Sir Henry Sidney, governor of Ireland
batch_0025	21273	The Power of Myth (1988), ch. 1 'Myth and the Modern World'	https://www.goodreads.com/work/quotes/971052-the-power-of-myth - passage listed under The Power of Myth; it continues the 'experience of being alive' passage from the Moyers interview (episode 2)
batch_0025	22958	Slaughterhouse-Five (1969), ch. 4	https://www.goodreads.com/quotes/70613-well-here-we-are-mr-pilgrim-trapped-in-the-amber - full wording 'Well, here we are, Mr. Pilgrim, trapped in the amber of this moment. There is no why' from Slaughterhouse-Five (Tralfamadorian speech to Billy Pilgrim)
batch_0025	23610	Iacocca: An Autobiography (1984)	https://www.goodreads.com/work/quotes/474603-iacocca-an-autobiography - passage listed under Iacocca: An Autobiography with its continuation 'there's something about putting your thoughts on paper...'
batch_0026	29015	The Big Brass Ring (screenplay written 1981–82, published 1987)	https://www.goodreads.com/quotes/139273-if-you-want-a-happy-ending-that-depends-of-course - quotation sites cite the line to Welles's screenplay The Big Brass Ring (spoken by Kim Menaker); no citation-tracking reference located in this search
batch_0026	32989	'Dante... Bruno. Vico.. Joyce' (1929), in Our Exagmination Round His Factification for Incamination of Work in Progress; reprinted in Disjecta (1983)	https://libquotes.com/samuel-beckett/quote/lbq4x6w - cites Disjecta: Miscellaneous Writings and a Dramatic Fragment, which reprints the 1929 essay containing the sentence (Beckett summarising Vico)
batch_0026	32992	From an Abandoned Work (1956; in The Complete Short Prose 1929–1989, 1995)	https://libquotes.com/samuel-beckett/quote/lbr1j6a - quotation sites cite The Complete Short Prose 1929–1989 (Grove Press, 1995); the sentence is from From an Abandoned Work
batch_0026	32998	Malone Dies (Malone meurt, 1951; English 1956)	https://www.goodreads.com/book/show/12279.Molloy_Malone_Dies_The_Unnamable - quotation cited to the Three Novels volume; the sentence occurs in Malone Dies
batch_0029	827	As quoted in Life magazine (21 April 1961)	https://www.goodreads.com/quotes/4839-trying-to-define-yourself-is-like-trying-to-bite-your - search results report the line as quoted in Life magazine, 21 April 1961 (the citation given on Wikiquote's Alan Watts page)
batch_0029	836	Article, The Guardian, 'Bipolar disorder doesn't just affect film stars'	https://www.brainyquote.com/authors/alastair-campbell-quotes - search results identify the line as from Campbell's Guardian comment piece 'Bipolar disorder doesn't just affect film stars'
batch_0031	1532	Stage-Coach and Tavern Days (1900), ch. 2 'The Tavern Landlord', p. 46	https://libquotes.com/alice-morse-earle - sourced-quotes listing citing Stage-coach and Tavern Days p. 46
batch_0031	1957	The Four-Chambered Heart (1950)	https://libquotes.com/ana%C3%AFs-nin/quote/lbh6t3h - sourced-quote listing citing The Four-Chambered Heart
batch_0033	2348	'My Medical Choice', op-ed in The New York Times (14 May 2013)	https://www.azquotes.com/quote/598022 - search results tie the line to Jolie's 2013 published account of her mastectomy (the New York Times op-ed 'My Medical Choice', whose closing lines these are)
batch_0033	2535	The Diary of a Young Girl (1947), entry of 8 November 1943	https://www.goodreads.com/quotes/193848-if-i-read-a-book-that-impresses-me-i-have - search summary dates the line to the 8 November 1943 entry of the diary
batch_0033	2539	Gift from the Sea (1955), ch. 'A Few Shells'	https://www.goodreads.com/work/quotes/37467-gift-from-the-sea - listed among Gift from the Sea quotations; the passage opens the chapter 'A Few Shells'
batch_0033	2540	Gift from the Sea (1955), ch. 'Moon Shell'	https://www.goodreads.com/work/quotes/37467-gift-from-the-sea?page=5 - listed among Gift from the Sea quotations; the passage answering Donne's 'No man is an island' is in the 'Moon Shell' chapter
batch_0038	4284	Interview, The Huffington Post, ''Moneyball' Godfather Bill James Tackles Politics In Super PAC Age' by Sam Stein (15 June 2012)	https://www.brainyquote.com/authors/bill-james-quotes - search result summary attributes the line to Sam Stein's 15 June 2012 Huffington Post interview with James
batch_0038	4503	Black Elk Speaks (1932), ch. 3 'The Great Vision'	https://libquotes.com/black-elk/quote/lbs2u8o - Lib Quotes sourced entry gives the fuller passage ('My bay had lightning stripes all over him and his mane was cloud. And when I breathed, my breath was lightning') from Black Elk Speaks
batch_0038	4515	Black Elk Speaks (1932)	https://www.goodreads.com/work/quotes/3813941-black-elk-speaks - book-specific quotes page for Black Elk Speaks carries the passage
batch_0041	5289	Interview with Christina Radish, Collider (28 August 2011)	https://www.brainyquote.com/authors/britt_robertson - search summary identifies the quote as from Christina Radish's Collider interview of 28 Aug 2011 about The Secret Circle; the Collider page itself was not in the result list
batch_0042	5858	The People, Yes (1936)	https://libquotes.com/carl-sandburg/works/the-people,-yes - Lib Quotes' sourced list for The People, Yes includes the line; search results consistently place it in that work
batch_0043	5987	Elle magazine interview by Mickey Rapkin, 'I'm Living Proof That the Good Guys Win' (April 2012)	https://www.azquotes.com/quote/71249 - aggregator cites the Elle.com April 2012 Mickey Rapkin interview; the same Elle 2012 interview is independently confirmed by NBC's report for the companion quote (row 5986), and its title matches row 5989
batch_0043	5989	Elle magazine interview by Mickey Rapkin, 'I'm Living Proof That the Good Guys Win' (19 April 2012)	https://www.azquotes.com/author/3600-Carson_Daly - aggregator cites the Elle.com 19 April 2012 Mickey Rapkin interview, whose title is this quote; the Elle 2012 interview is independently confirmed by NBC's report for row 5986
batch_0043	5990	Elle magazine interview by Mickey Rapkin, 'I'm Living Proof That the Good Guys Win' (19 April 2012)	https://www.brainyquote.com/quotes/carson_daly_465156 - aggregator cites the Elle.com 19 April 2012 Mickey Rapkin interview; the Elle 2012 interview is independently confirmed by NBC's report for row 5986
batch_0043	5994	Elle magazine interview by Mickey Rapkin, 'I'm Living Proof That the Good Guys Win' (19 April 2012)	https://www.azquotes.com/author/3600-Carson_Daly - aggregator cites the Elle.com 19 April 2012 Mickey Rapkin interview; the Elle 2012 interview is independently confirmed by NBC's report for row 5986
batch_0043	6124	The Guardian, 'The gentle art of showing off', interview by Sally Vincent (March 2005)	https://www.inspiringquotes.us/author/6948-celia-imrie - aggregator cites the Guardian interview by Sally Vincent; theguardian.com is blocked for the search tool so the page could not be checked directly, but the same 2005 Guardian profile is cited consistently for rows 6127 and 6133
batch_0043	6127	The Guardian, 'The gentle art of showing off', interview by Sally Vincent (March 2005)	https://www.azquotes.com/quote/994885 - aggregator cites the Guardian interview by Sally Vincent; theguardian.com is blocked for the search tool so the page could not be checked directly
batch_0043	6133	The Guardian interview (March 2005)	https://www.azquotes.com/author/36567-Celia_Imrie - aggregator cites a Guardian interview of March 2005 (the Sally Vincent profile 'The gentle art of showing off'); theguardian.com is blocked for the search tool so the page could not be checked directly
batch_0044	6264	On the Economy of Machinery and Manufactures (1832), ch. 2 'Accumulating Power'	https://libquotes.com/charles-babbage/quote/lbl7z3y - cites On the Economy of Machinery and Manufactures (1832) for the watch-winding passage
batch_0044	6265	On the Economy of Machinery and Manufactures (1832), ch. 1	https://libquotes.com/charles-babbage/quote/lbl0b1l - cites Babbage's 1832 work on machinery (an earlier form appeared in his 1827 essay on the application of machinery to manufactures)
batch_0044	6266	On the Economy of Machinery and Manufactures (1832), ch. 4 'Increase and Diminution of Velocity'	https://libquotes.com/charles-babbage - listed among Babbage's sourced quotations from On the Economy of Machinery and Manufactures (1832)
batch_0044	6277	On the Economy of Machinery and Manufactures (1832), ch. 1	https://libquotes.com/charles-babbage/quotes/machine - lists the passage among Babbage's sourced quotations from On the Economy of Machinery and Manufactures
batch_0044	6279	On the Economy of Machinery and Manufactures (1832)	https://libquotes.com/charles-babbage/quotes/machine - lists the passage among Babbage's sourced quotations from On the Economy of Machinery and Manufactures
batch_0044	6342	Letter to Susan Darwin (4 August 1836), in The Life and Letters of Charles Darwin (1887)	https://libquotes.com/charles-darwin/quote/lbj3e6e - cites the letter to his sister Susan of 4 August 1836 as printed in The Life and Letters of Charles Darwin (1887)
batch_0044	6361	Letter to A. Stephen Wilson (5 March 1879), in More Letters of Charles Darwin, vol. 2 (1903)	https://libquotes.com/charles-darwin/quote/lbv0v9f - cites More Letters of Charles Darwin, vol. 2 for the passage
batch_0046	6910	Things Fall Apart (1958), ch. 11	https://libquotes.com/chinua-achebe/works/things-fall-apart - LibQuotes lists the line among Things Fall Apart quotations (Tortoise in Ekwefi's folk tale: 'I have learned that a man who makes trouble for others is also making trouble for himself')
batch_0048	7420	Fight Club (1996), ch. 16	https://www.goodreads.com/work/quotes/68729-fight-club - listed among Fight Club quotes; the novel's text reads 'We don't have a great war in our generation, or a great depression, but we do, we have a great war of the spirit... The great depression is our lives'; the corpus wording follows the 1999 film adaptation
batch_0048	7431	Fight Club (1996)	https://www.goodreads.com/quotes/2075-you-have-to-give-up-you-have-to-give-up - search shows the corpus line is a condensed form of the novel's 'You have to give up... You have to realize that someday you will die. Until you know that, you are useless'; only community listings surfaced, novel identification rests on the text itself
batch_0048	7438	Survivor (1999)	https://www.goodreads.com/quotes/135729-people-used-what-they-called-a-telephone-because-they-hated - search results attribute the line to the novel Survivor (novel wording: '...they were too scared of being alone'); only community listings surfaced
batch_0048	7442	Choke (2001)	https://www.goodreads.com/work/quotes/3185242-choke - listed among Choke quotes (narrator Victor Mancini); only community listings surfaced
batch_0048	7443	Fight Club (1996)	https://www.goodreads.com/work/quotes/68729-fight-club - listed among Fight Club quotes; the passage follows the narrator's imagined exchange with God in the final chapter; only community listings surfaced
batch_0048	7523	Interview with Glamour magazine, 'Glamour's January Cover Star Claire Danes on Why She's Happier in Her 30s' (January 2014 issue)	https://www.brainyquote.com/quotes/claire_danes_587183 - search summary identifies the Glamour January cover-story interview as the source; Glamour page itself not returned
batch_0048	7528	'Q&A' interview with Rosanna Greenstreet, The Guardian (14 January 2011)	https://www.azquotes.com/author/16290-Clare_Balding - search summary identifies the Guardian Q&A of 14 Jan 2011 (Rosanna Greenstreet) as the source; Guardian page itself not returned
batch_0048	7534	Interview with Andrew Anthony, The Guardian (8 December 2012)	https://www.azquotes.com/author/16290-Clare_Balding - search summary identifies Andrew Anthony's Guardian interview of 8 Dec 2012 as the source; Guardian page itself not returned
batch_0048	7535	Interview with Donald McRae, The Guardian (17 September 2012)	https://www.azquotes.com/author/16290-Clare_Balding - search summary identifies Donald McRae's Guardian interview of 17 Sept 2012 as the source; Guardian page itself not returned
batch_0048	7542	Interview with Kira Cochrane, The Guardian	https://www.azquotes.com/author/16290-Clare_Balding - search summary identifies Kira Cochrane's Guardian interview as the source (date not given); Guardian page itself not returned
batch_0048	7545	Interview with Alex Clark, The Guardian (15 September 2012)	https://www.azquotes.com/author/16290-Clare_Balding - search summary identifies Alex Clark's Guardian interview of 15 Sept 2012 as the source; Guardian page itself not returned
batch_0048	7605	Any Number Can Play (1957)	https://libquotes.com/clifton-fadiman/quote/lbw8m2r - Lib Quotes sourced entry citing Any Number Can Play (1957)
batch_0048	7615	Reader's Digest (September 1956)	https://libquotes.com/clifton-fadiman/quote/lby1p4s - Lib Quotes sourced entry; search summary reports the attribution to Reader's Digest, September 1956
batch_0048	7617	Any Number Can Play (1957)	https://www.quotes.net/authors/Clifton+Paul+Fadiman - search summary reports the quote is from Any Number Can Play (World Publishing, Cleveland, 1957)
batch_0048	7618	Wine Buyers Guide (1977), with Sam Aaron	https://www.goodreads.com/quotes/81869-a-bottle-of-wine-begs-to-be-shared-i-have - search summary reports the line appears in the 1977 Wine Buyers Guide by Fadiman, Sam Aaron and Darlene Geis; listings otherwise aggregators
batch_0048	7620	Party of One: The Selected Writings of Clifton Fadiman (1955)	https://libquotes.com/clifton-fadiman - search summary reports the Faulkner remark appears in Party of One (1955)
batch_0052	8542	How We Are Hungry (2004)	https://libquotes.com/dave-eggers/quote/lbe9e8b - Lib Quotes sourced entry attributing the line to How We Are Hungry
batch_0054	9405	Interview by Sam Bellikoff, 'Dianna Agron on Life, Glee, and the Paparazzi', Interview Magazine (18 February 2011)	https://www.brainyquote.com/quotes/dianna_agron_502630 - search result attributes the line to the Interview Magazine interview of 18 February 2011 (https://www.interviewmagazine.com/film/dianna-agron-glee-i-am-number-four)
batch_0055	9733	Life, the Universe and Everything (1982)	https://www.goodreads.com/quotes/3156-the-guide-says-there-is-an-art-to-flying-said - the original passage reads 'there is an art to flying, or rather a knack. The knack lies in learning how to throw yourself at the ground and miss' in Life, the Universe and Everything
batch_0055	9736	The Restaurant at the End of the Universe (1980), ch. 1 (opening lines)	https://www.goodreads.com/work/quotes/1877624-the-restaurant-at-the-end-of-the-universe - book quote page; the line is the novel's opening ('The story so far: In the beginning the Universe was created...')
batch_0055	9737	Mostly Harmless (1992)	https://www.quotes.net/quote/34668 - attributes the line to Mostly Harmless
batch_0055	9746	The Hitchhiker's Guide to the Galaxy (1979), ch. 1	https://www.goodreads.com/quotes/13822-this-must-be-thursday-said-arthur-to-himself-sinking-low - the full sentence ('This must be Thursday,' said Arthur to himself, sinking low over his beer...) is Arthur Dent's line in the pub scene of the first novel
batch_0055	9749	The Hitchhiker's Guide to the Galaxy (1979)	https://www.goodreads.com/quotes/889730-if-somebody-thinks-they-re-a-hedgehog-presumably-you-just-give - attributed to The Hitchhiker's Guide to the Galaxy; no citation-tracking reference with a chapter located
batch_0055	9751	The Hitchhiker's Guide to the Galaxy (1979)	https://libquotes.com/douglas-adams/quote/lbh7i7l - attributes the line to The Hitchhiker's Guide to the Galaxy (the Infinite Improbability Drive scene)
batch_0055	9752	Dirk Gently's Holistic Detective Agency (1987)	https://www.goodreads.com/quotes/136954-it-is-a-rare-mind-indeed-that-can-render-the - attributed to Dirk Gently's Holistic Detective Agency
batch_0055	9753	Life, the Universe and Everything (1982)	https://www.quoteslyfe.com/quote/He-hoped-and-prayed-that-there-wasn-5722 - attributes it to Life, the Universe and Everything
batch_0055	9755	The Hitchhiker's Guide to the Galaxy (1979), ch. 1	https://www.goodreads.com/quotes/922987-the-mere-thought-growled-mr-prosser-hadn-t-even-begun-to - the line is Mr Prosser's in the opening bulldozer scene of the novel; also in The Original Hitchhiker Radio Scripts (1985)
batch_0055	9824	Address to the Michigan Legislature, Lansing (15 May 1952)	https://www.goodreads.com/author/quotes/317613.Douglas_MacArthur - search identifies the source as MacArthur's speech to the Michigan Legislature, Lansing, 15 May 1952 (as printed in his collected speeches)
