batch	rows	sourced	misattributed	unverified	unsearched
batch_0064	170	58	3	109	0
batch_0065	170	74	1	95	0
batch_0066	170	62	1	107	0
batch_0067	170	30	0	140	0
batch_0068	170	42	0	128	0
batch_0069	170	44	0	126	0
batch_0070	170	72	2	96	0
batch_0071	170	82	3	85	0
batch_0072	170	50	3	117	0
batch_0073	170	42	0	128	0
batch_0074	170	46	0	124	0
batch_0075	170	57	0	113	0
batch_0076	170	36	1	133	0
batch_0077	170	29	0	141	0
batch_0078	170	45	2	123	0
batch_0079	170	41	5	124	0
batch_0080	170	34	2	134	0
batch_0081	170	57	4	109	0
batch_0082	170	46	6	118	0
batch_0083	170	73	7	90	0
batch_0084	170	70	0	100	0
batch_0085	170	73	0	97	0
batch_0086	42	13	0	29	0
batch_0086b	128	28	0	100	0
batch_0087	170	51	2	117	0
batch_0088	170	74	0	96	0
batch_0089	170	53	12	105	0
batch_0090	170	28	0	142	0
batch_0091	170	23	7	140	0
batch_0092	170	35	0	135	0
batch_0093	170	35	6	129	0
batch_0094	170	47	2	121	0
batch_0095	170	27	3	140	0
batch_0096	170	29	0	141	0
batch_0097	170	43	4	123	0
batch_0098	170	40	6	124	0
batch_0099	170	37	1	132	0
batch_0100	170	69	0	101	0
batch_0101	170	83	0	87	0
batch_0102	170	41	2	127	0
batch_0103	170	50	1	119	0
batch_0104	170	69	6	95	0
batch_0105	170	58	0	112	0
batch_0106	170	33	0	137	0
batch_0107	170	31	0	139	0
batch_0108	170	38	0	132	0
batch_0109	170	35	2	133	0
batch_0110	170	66	0	104	0
batch_0111	170	60	1	109	0
batch_0112	59	31	0	28	0
batch_0112b	111	40	1	70	0
batch_0113	170	39	2	129	0
batch_0114	120	17	3	100	0
batch_0114b	50	22	0	28	0
batch_0115	65	17	0	48	0
batch_0115b	105	19	1	85	0
batch_0116	170	58	3	109	0
batch_0117	170	21	0	149	0
batch_0118	170	34	0	136	0
batch_0119	170	53	2	115	0
batch_0120	170	41	2	127	0
batch_0121	170	77	2	91	0
batch_0122	170	68	0	102	0
batch_0123	170	30	0	140	0
batch_0124	170	54	8	108	0
batch_0125	170	56	0	114	0
batch_0126	170	31	1	138	0
batch_0127	170	32	0	138	0
batch_0128	170	39	4	127	0
batch_0129	170	29	7	134	0
batch_0130	170	43	5	122	0
batch_0131	170	39	6	125	0
batch_0132	170	40	0	130	0
batch_0133	170	52	0	118	0
batch_0134	170	75	2	93	0
batch_0135	170	65	2	103	0
batch_0136	121	28	1	92	0
batch_0136b	49	9	8	32	0
batch_0137	95	21	0	74	0
batch_0137b	75	15	0	60	0
batch_0138	170	35	0	135	0
batch_0139	170	41	0	129	0
batch_0140	69	32	0	37	0
batch_0140b	101	17	0	84	0
batch_0141	108	14	0	94	0
batch_0141b	62	20	0	42	0
batch_0142	60	8	0	52	0
batch_0142b	110	19	0	91	0
batch_0143	24	1	0	23	0
batch_0143b	146	26	1	119	0
batch_0144	170	46	0	124	0
batch_0145	170	50	1	119	0
batch_0146	170	38	0	132	0
batch_0147	170	44	0	126	0
batch_0148	170	81	1	88	0
batch_0149	170	31	1	138	0
batch_0150	170	28	2	140	0
batch_0151	170	79	1	90	0
batch_0152	170	62	0	108	0
batch_0153	170	39	0	131	0
batch_0154	170	40	1	129	0
batch_0155	170	40	1	129	0
batch_0156	170	50	3	117	0
batch_0157	170	44	1	125	0
batch_0158	170	42	0	128	0
batch_0159	170	43	3	124	0
batch_0160	170	38	9	123	0
batch_0161	170	39	3	128	0
batch_0162	170	65	0	105	0
batch_0163	170	33	0	137	0
batch_0164	170	45	0	125	0
batch_0165	170	67	0	103	0
batch_0166	170	44	8	118	0
batch_0167	170	41	1	128	0
batch_0168	170	45	3	122	0
batch_0169	170	79	0	91	0
batch_0170	170	43	3	124	0
batch_0171	170	25	0	145	0
batch_0172	170	48	0	122	0
batch_0173	170	56	0	114	0
batch_0174	170	44	0	126	0
batch_0175	170	44	0	126	0
batch_0176	170	40	0	130	0
batch_0177	170	36	2	132	0
batch_0178	170	32	5	133	0
batch_0179	170	29	1	140	0
batch_0180	170	39	0	131	0
batch_0181	170	53	1	116	0
batch_0182	170	23	0	147	0
batch_0183	170	47	0	123	0
batch_0184	170	24	7	139	0
batch_0185	170	62	0	108	0
batch_0186	170	37	1	113	19
TOTAL	31620	10099	566	20933	22
